x,y,r,g,b
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
0,1,0,0,0
1,1,15,15,15
2,1,15,15,15
3,1,15,15,15
4,1,15,15,15
5,1,15,15,15
6,1,0,0,0
7,1,15,15,15
8,1,0,0,0
9,1,0,0,0
10,1,15,15,15
11,1,15,15,15
12,1,15,15,15
13,1,15,15,15
14,1,15,15,15
15,1,15,15,15
16,1,15,15,15
17,1,15,15,15
18,1,15,15,15
19,1,15,15,15
20,1,15,15,15
21,1,15,15,15
22,1,15,15,15
23,1,15,15,15
24,1,15,15,15
25,1,15,15,15
26,1,15,15,15
27,1,15,15,15
28,1,15,15,15
29,1,15,15,15
30,1,15,15,15
31,1,0,0,0
0,2,0,0,0
1,2,15,15,15
2,2,15,15,15
3,2,15,15,15
4,2,0,0,0
5,2,15,15,15
6,2,0,0,0
7,2,0,0,0
8,2,15,15,15
9,2,0,0,0
10,2,15,15,15
11,2,15,15,15
12,2,0,0,0
13,2,0,0,0
14,2,15,15,15
15,2,15,15,15
16,2,15,15,15
17,2,15,15,15
18,2,15,15,15
19,2,15,15,15
20,2,15,15,15
21,2,15,15,15
22,2,15,15,15
23,2,15,15,15
24,2,15,15,15
25,2,15,15,15
26,2,15,15,15
27,2,15,15,15
28,2,15,15,15
29,2,15,15,15
30,2,15,15,15
31,2,0,0,0
0,3,0,0,0
1,3,15,15,15
2,3,15,15,15
3,3,15,15,15
4,3,15,15,15
5,3,15,15,15
6,3,15,15,15
7,3,15,15,15
8,3,15,15,15
9,3,15,15,15
10,3,0,0,0
11,3,15,15,15
12,3,0,0,0
13,3,0,0,0
14,3,0,0,0
15,3,0,0,0
16,3,0,0,0
17,3,15,15,15
18,3,15,15,15
19,3,15,15,15
20,3,15,15,15
21,3,15,15,15
22,3,15,15,15
23,3,15,15,15
24,3,15,15,15
25,3,15,15,15
26,3,15,15,15
27,3,15,15,15
28,3,15,15,15
29,3,15,15,15
30,3,15,15,15
31,3,0,0,0
0,4,0,0,0
1,4,15,15,15
2,4,15,15,15
3,4,15,15,15
4,4,0,0,0
5,4,0,0,0
6,4,15,15,15
7,4,15,15,15
8,4,0,0,0
9,4,15,15,15
10,4,15,15,15
11,4,0,0,0
12,4,0,0,0
13,4,15,15,15
14,4,15,15,15
15,4,15,15,15
16,4,0,0,0
17,4,15,15,15
18,4,15,15,15
19,4,15,15,15
20,4,15,15,15
21,4,15,15,15
22,4,15,15,15
23,4,15,15,15
24,4,15,15,15
25,4,15,15,15
26,4,15,15,15
27,4,15,15,15
28,4,15,15,15
29,4,15,15,15
30,4,15,15,15
31,4,0,0,0
0,5,0,0,0
1,5,15,15,15
2,5,15,15,15
3,5,15,15,15
4,5,15,15,15
5,5,15,15,15
6,5,15,15,15
7,5,0,0,0
8,5,0,0,0
9,5,0,0,0
10,5,0,0,0
11,5,0,0,0
12,5,15,15,15
13,5,0,0,0
14,5,15,15,15
15,5,15,15,15
16,5,0,0,0
17,5,0,0,0
18,5,15,15,15
19,5,15,15,15
20,5,15,15,15
21,5,15,15,15
22,5,15,15,15
23,5,15,15,15
24,5,15,15,15
25,5,15,15,15
26,5,15,15,15
27,5,15,15,15
28,5,15,15,15
29,5,15,15,15
30,5,15,15,15
31,5,0,0,0
0,6,0,0,0
1,6,15,15,15
2,6,15,15,15
3,6,15,15,15
4,6,0,0,0
5,6,0,0,0
6,6,0,0,0
7,6,0,0,0
8,6,15,15,15
9,6,0,0,0
10,6,0,0,0
11,6,15,15,15
12,6,15,15,15
13,6,0,0,0
14,6,15,15,15
15,6,15,15,15
16,6,15,15,15
17,6,0,0,0
18,6,0,0,0
19,6,15,15,15
20,6,15,15,15
21,6,15,15,15
22,6,15,15,15
23,6,15,15,15
24,6,15,15,15
25,6,15,15,15
26,6,15,15,15
27,6,15,15,15
28,6,15,15,15
29,6,15,15,15
30,6,15,15,15
31,6,0,0,0
0,7,0,0,0
1,7,15,15,15
2,7,15,15,15
3,7,15,15,15
4,7,0,0,0
5,7,0,0,0
6,7,0,0,0
7,7,15,15,15
8,7,15,15,15
9,7,15,15,15
10,7,0,0,0
11,7,15,15,15
12,7,15,15,15
13,7,15,15,15
14,7,15,15,15
15,7,15,15,15
16,7,15,15,15
17,7,0,0,0
18,7,15,15,15
19,7,0,0,0
20,7,15,15,15
21,7,15,15,15
22,7,15,15,15
23,7,15,15,15
24,7,15,15,15
25,7,15,15,15
26,7,15,15,15
27,7,15,15,15
28,7,15,15,15
29,7,15,15,15
30,7,15,15,15
31,7,0,0,0
0,8,0,0,0
1,8,15,15,15
2,8,15,15,15
3,8,15,15,15
4,8,0,0,0
5,8,15,15,15
6,8,0,0,0
7,8,15,15,15
8,8,15,15,15
9,8,15,15,15
10,8,0,0,0
11,8,15,15,15
12,8,15,15,15
13,8,15,15,15
14,8,15,15,15
15,8,15,15,15
16,8,0,0,0
17,8,15,15,15
18,8,15,15,15
19,8,15,15,15
20,8,0,0,0
21,8,15,15,15
22,8,15,15,15
23,8,15,15,15
24,8,15,15,15
25,8,15,15,15
26,8,15,15,15
27,8,15,15,15
28,8,15,15,15
29,8,15,15,15
30,8,15,15,15
31,8,0,0,0
0,9,0,0,0
1,9,15,15,15
2,9,15,15,15
3,9,15,15,15
4,9,0,0,0
5,9,15,15,15
6,9,0,0,0
7,9,15,15,15
8,9,15,15,15
9,9,15,15,15
10,9,15,15,15
11,9,15,15,15
12,9,15,15,15
13,9,15,15,15
14,9,15,15,15
15,9,0,0,0
16,9,15,15,15
17,9,15,15,15
18,9,15,15,15
19,9,15,15,15
20,9,15,15,15
21,9,0,0,0
22,9,15,15,15
23,9,15,15,15
24,9,15,15,15
25,9,15,15,15
26,9,15,15,15
27,9,15,15,15
28,9,15,15,15
29,9,15,15,15
30,9,15,15,15
31,9,0,0,0
0,10,0,0,0
1,10,15,15,15
2,10,15,15,15
3,10,15,15,15
4,10,0,0,0
5,10,15,15,15
6,10,15,15,15
7,10,15,15,15
8,10,15,15,15
9,10,15,15,15
10,10,15,15,15
11,10,15,15,15
12,10,15,15,15
13,10,15,15,15
14,10,0,0,0
15,10,0,0,0
16,10,15,15,15
17,10,15,15,15
18,10,15,15,15
19,10,15,15,15
20,10,15,15,15
21,10,15,15,15
22,10,0,0,0
23,10,15,15,15
24,10,15,15,15
25,10,15,15,15
26,10,15,15,15
27,10,15,15,15
28,10,15,15,15
29,10,15,15,15
30,10,15,15,15
31,10,0,0,0
0,11,0,0,0
1,11,15,15,15
2,11,15,15,15
3,11,15,15,15
4,11,0,0,0
5,11,15,15,15
6,11,15,15,15
7,11,15,15,15
8,11,15,15,15
9,11,15,15,15
10,11,15,15,15
11,11,15,15,15
12,11,15,15,15
13,11,0,0,0
14,11,15,15,15
15,11,0,0,0
16,11,15,15,15
17,11,15,15,15
18,11,15,15,15
19,11,15,15,15
20,11,15,15,15
21,11,15,15,15
22,11,15,15,15
23,11,0,0,0
24,11,15,15,15
25,11,15,15,15
26,11,15,15,15
27,11,15,15,15
28,11,15,15,15
29,11,15,15,15
30,11,15,15,15
31,11,0,0,0
0,12,0,0,0
1,12,15,15,15
2,12,15,15,15
3,12,15,15,15
4,12,0,0,0
5,12,15,15,15
6,12,15,15,15
7,12,15,15,15
8,12,15,15,15
9,12,15,15,15
10,12,15,15,15
11,12,15,15,15
12,12,0,0,0
13,12,15,15,15
14,12,15,15,15
15,12,0,0,0
16,12,15,15,15
17,12,15,15,15
18,12,15,15,15
19,12,15,15,15
20,12,15,15,15
21,12,15,15,15
22,12,15,15,15
23,12,15,15,15
24,12,0,0,0
25,12,15,15,15
26,12,15,15,15
27,12,15,15,15
28,12,15,15,15
29,12,15,15,15
30,12,15,15,15
31,12,0,0,0
0,13,0,0,0
1,13,15,15,15
2,13,15,15,15
3,13,15,15,15
4,13,0,0,0
5,13,15,15,15
6,13,15,15,15
7,13,15,15,15
8,13,15,15,15
9,13,15,15,15
10,13,15,15,15
