x,y,r,g,b
0,0,15,15,15
1,0,15,15,15
2,0,15,15,15
3,0,15,15,15
4,0,15,15,15
5,0,15,15,15
6,0,15,15,15
7,0,15,15,15
8,0,15,15,15
9,0,15,15,15
10,0,15,15,15
11,0,15,15,15
12,0,15,15,15
13,0,15,15,15
14,0,15,15,15
15,0,15,15,15
16,0,15,15,15
17,0,15,15,15
18,0,15,15,15
19,0,15,15,15
20,0,15,15,15
21,0,15,15,15
22,0,15,15,15
23,0,15,15,15
24,0,15,15,15
25,0,15,15,15
26,0,15,15,15
27,0,15,15,15
28,0,15,15,15
29,0,15,15,15
30,0,15,15,15
31,0,15,15,15
0,1,15,15,15
1,1,15,15,15
2,1,15,15,15
3,1,15,15,15
4,1,15,15,15
5,1,15,15,15
6,1,15,15,15
7,1,15,15,15
8,1,15,15,15
9,1,15,15,15
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,15,15,15
15,1,15,15,15
16,1,15,15,15
17,1,15,15,15
18,1,15,15,15
19,1,15,15,15
20,1,15,15,15
21,1,15,15,15
22,1,15,15,15
23,1,15,15,15
24,1,15,15,15
25,1,15,15,15
26,1,15,15,15
27,1,15,15,15
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,0,0,0
0,2,15,15,15
1,2,15,15,15
2,2,15,15,15
3,2,15,15,15
4,2,15,15,15
5,2,15,15,15
6,2,15,15,15
7,2,15,15,15
8,2,15,15,15
9,2,15,15,15
10,2,0,0,0
11,2,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,15,15,15
15,2,15,15,15
16,2,15,15,15
17,2,15,15,15
18,2,15,15,15
19,2,15,15,15
20,2,15,15,15
21,2,15,15,15
22,2,15,15,15
23,2,15,15,15
24,2,15,15,15
25,2,15,15,15
26,2,15,15,15
27,2,15,15,15
28,2,0,0,0
29,2,0,0,0
30,2,0,0,0
31,2,0,0,0
0,3,15,15,15
1,3,15,15,15
2,3,15,15,15
3,3,15,15,15
4,3,15,15,15
5,3,15,15,15
6,3,15,15,15
7,3,15,15,15
8,3,15,15,15
9,3,15,15,15
10,3,0,0,0
11,3,0,0,0
12,3,15,15,0
13,3,15,15,0
14,3,0,0,0
15,3,0,0,0
16,3,15,15,15
