x,y,r,g,b
0,0,15,15,15
1,0,15,15,15
2,0,15,15,15
3,0,15,15,15
4,0,15,15,15
5,0,15,15,15
6,0,15,15,15
7,0,15,15,15
8,0,15,15,15
9,0,15,15,15
10,0,15,15,15
11,0,15,15,15
12,0,15,15,15
13,0,15,15,15
14,0,15,15,15
15,0,15,15,15
16,0,15,15,15
17,0,15,15,15
18,0,15,15,15
19,0,15,15,15
20,0,15,15,15
21,0,15,15,15
22,0,15,15,15
23,0,15,15,15
24,0,15,15,15
25,0,15,15,15
26,0,15,15,15
27,0,15,15,15
28,0,15,15,15
29,0,15,15,15
30,0,0,0,0
31,0,0,0,0
0,1,15,15,15
1,1,15,15,15
2,1,15,15,15
3,1,15,15,15
4,1,15,15,15
5,1,15,15,15
6,1,15,15,15
7,1,15,15,15
8,1,15,15,15
9,1,15,15,15
10,1,15,15,15
11,1,15,15,15
12,1,15,15,15
13,1,15,15,15
14,1,15,15,15
15,1,15,15,15
16,1,15,15,15
17,1,15,15,15
18,1,15,15,15
19,1,15,15,15
20,1,15,15,15
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,1,15,15,15
26,1,15,15,15
27,1,15,15,15
28,1,15,15,15
29,1,0,0,0
30,1,0,0,15
31,1,0,0,0
0,2,15,15,15
1,2,15,15,15
2,2,15,15,15
3,2,15,15,15
4,2,15,15,15
5,2,15,15,15
6,2,15,15,15
7,2,15,15,15
8,2,15,15,15
9,2,15,15,15
10,2,15,15,15
11,2,15,15,15
12,2,15,15,15
13,2,15,15,15
14,2,15,15,15
15,2,15,15,15
16,2,15,15,15
17,2,15,15,15
18,2,15,15,15
19,2,0,0,0
20,2,0,0,0
21,2,0,0,15
22,2,0,0,15
23,2,0,0,15
24,2,0,0,15
25,2,0,0,0
26,2,15,15,15
27,2,15,15,15
28,2,15,15,15
29,2,0,0,0
30,2,0,0,15
31,2,0,0,0
0,3,15,15,15
1,3,15,15,15
2,3,15,15,15
3,3,15,15,15
4,3,15,15,15
5,3,15,15,15
6,3,15,15,15
7,3,15,15,15
8,3,15,15,15
9,3,15,15,15
10,3,15,15,15
11,3,15,15,15
12,3,15,15,15
13,3,15,15,15
14,3,15,15,15
15,3,15,15,15
16,3,15,15,15
