x,y,r,g,b
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
0,1,0,0,0
1,1,254,254,254
2,1,254,254,254
3,1,254,254,254
4,1,254,254,254
5,1,254,254,254
6,1,254,254,254
7,1,254,254,254
8,1,254,254,254
9,1,254,254,254
10,1,254,254,254
11,1,254,254,254
12,1,254,254,254
13,1,254,254,254
14,1,254,254,254
15,1,254,254,254
16,1,254,254,254
17,1,254,254,254
18,1,254,254,254
19,1,254,254,254
20,1,254,254,254
21,1,254,254,254
22,1,254,254,254
23,1,254,254,254
24,1,254,254,254
25,1,254,254,254
26,1,254,254,254
27,1,254,254,254
28,1,254,254,254
29,1,254,254,254
30,1,254,254,254
31,1,0,0,0
0,2,0,0,0
1,2,254,254,254
2,2,254,254,254
3,2,254,254,254
4,2,254,254,254
5,2,254,254,254
6,2,254,254,254
7,2,0,0,0
8,2,0,0,0
9,2,0,0,0
10,2,0,0,0
11,2,0,0,0
12,2,0,0,0
13,2,0,0,0
14,2,0,0,0
15,2,0,0,0
16,2,0,0,0
17,2,0,0,0
18,2,0,0,0
19,2,0,0,0
20,2,0,0,0
21,2,0,0,0
22,2,0,0,0
23,2,0,0,0
24,2,0,0,0
25,2,0,0,0
26,2,0,0,0
27,2,0,0,0
28,2,0,0,0
29,2,254,254,254
30,2,254,254,254
31,2,0,0,0
0,3,0,0,0
1,3,254,254,254
2,3,254,254,254
3,3,254,254,254
4,3,254,254,254
5,3,254,254,254
6,3,0,0,0
7,3,0,0,0
8,3,254,254,254
9,3,254,254,254
10,3,254,254,254
11,3,254,254,254
12,3,254,254,254
13,3,254,254,254
14,3,254,254,254
15,3,254,254,254
16,3,254,254,254
17,3,254,254,254
18,3,254,254,254
19,3,254,254,254
20,3,254,254,254
21,3,254,254,254
22,3,254,254,254
23,3,254,254,254
24,3,254,254,254
25,3,254,254,254
26,3,254,254,254
27,3,254,254,254
28,3,254,254,254
29,3,0,0,0
30,3,254,254,254
31,3,0,0,0
0,4,0,0,0
1,4,254,254,254
2,4,254,254,254
3,4,254,254,254
4,4,254,254,254
5,4,0,0,0
6,4,0,0,0
7,4,0,0,0
8,4,254,254,254
9,4,254,254,254
10,4,254,254,254
11,4,254,254,254
12,4,254,254,254
13,4,254,254,254
14,4,254,254,254
15,4,254,254,254
16,4,254,254,254
17,4,254,254,254
18,4,254,254,254
19,4,254,254,254
20,4,254,254,254
21,4,254,254,254
22,4,254,254,254
23,4,254,254,254
24,4,254,254,254
25,4,254,254,254
26,4,254,254,254
27,4,254,254,254
28,4,254,254,254
29,4,0,0,0
30,4,254,254,254
31,4,0,0,0
0,5,0,0,0
1,5,254,254,254
2,5,254,254,254
3,5,254,254,254
4,5,0,0,0
5,5,0,0,0
6,5,0,0,0
7,5,0,0,0
8,5,254,254,254
9,5,254,254,254
10,5,0,0,0
11,5,254,254,254
12,5,254,254,254
13,5,0,0,0
14,5,254,254,254
15,5,254,254,254
16,5,0,0,0
17,5,254,254,254
18,5,254,254,254
19,5,0,0,0
20,5,254,254,254
21,5,254,254,254
22,5,0,0,0
23,5,254,254,254
24,5,254,254,254
25,5,0,0,0
26,5,254,254,254
27,5,254,254,254
28,5,254,254,254
29,5,0,0,0
30,5,254,254,254
31,5,0,0,0
0,6,0,0,0
1,6,254,254,254
2,6,254,254,254
3,6,0,0,0
4,6,0,0,0
5,6,0,0,0
6,6,0,0,0
7,6,0,0,0
8,6,254,254,254
9,6,254,254,254
10,6,0,0,0
11,6,254,254,254
12,6,254,254,254
13,6,0,0,0
14,6,254,254,254
15,6,254,254,254
16,6,0,0,0
17,6,254,254,254
18,6,254,254,254
19,6,0,0,0
20,6,254,254,254
21,6,254,254,254
22,6,0,0,0
23,6,254,254,254
24,6,254,254,254
25,6,0,0,0
26,6,254,254,254
27,6,254,254,254
28,6,254,254,254
29,6,0,0,0
30,6,254,254,254
31,6,0,0,0
0,7,0,0,0
1,7,254,254,254
2,7,0,0,0
3,7,0,0,0
4,7,0,0,0
5,7,0,0,0
6,7,0,0,0
7,7,0,0,0
8,7,254,254,254
9,7,254,254,254
10,7,0,0,0
11,7,254,254,254
12,7,254,254,254
13,7,0,0,0
14,7,254,254,254
15,7,254,254,254
16,7,0,0,0
17,7,254,254,254
18,7,254,254,254
19,7,0,0,0
20,7,254,254,254
21,7,254,254,254
22,7,0,0,0
23,7,254,254,254
24,7,254,254,254
25,7,0,0,0
26,7,254,254,254
27,7,254,254,254
28,7,254,254,254
29,7,0,0,0
30,7,254,254,254
31,7,0,0,0
0,8,0,0,0
1,8,254,254,254
2,8,0,0,0
3,8,254,254,254
4,8,254,254,254
5,8,254,254,254
6,8,254,254,254
7,8,254,254,254
8,8,254,254,254
9,8,254,254,254
10,8,0,0,0
11,8,254,254,254
12,8,254,254,254
13,8,0,0,0
14,8,254,254,254
15,8,254,254,254
16,8,0,0,0
17,8,254,254,254
18,8,254,254,254
19,8,0,0,0
20,8,254,254,254
21,8,254,254,254
22,8,0,0,0
23,8,254,254,254
24,8,254,254,254
25,8,0,0,0
26,8,254,254,254
27,8,254,254,254
28,8,254,254,254
29,8,0,0,0
30,8,254,254,254
31,8,0,0,0
0,9,0,0,0
1,9,254,254,254
2,9,0,0,0
3,9,254,254,254
4,9,254,254,254
5,9,254,254,254
6,9,254,254,254
7,9,254,254,254
8,9,254,254,254
9,9,254,254,254
10,9,0,0,0
11,9,254,254,254
12,9,254,254,254
13,9,0,0,0
14,9,254,254,254
15,9,254,254,254
16,9,0,0,0
17,9,254,254,254
18,9,254,254,254
19,9,0,0,0
20,9,254,254,254
21,9,254,254,254
22,9,0,0,0
23,9,254,254,254
24,9,254,254,254
25,9,0,0,0
26,9,254,254,254
27,9,254,254,254
28,9,254,254,254
29,9,0,0,0
30,9,254,254,254
31,9,0,0,0
0,10,0,0,0
1,10,254,254,254
2,10,0,0,0
3,10,254,254,254
4,10,254,254,254
5,10,254,254,254
6,10,254,254,254
7,10,254,254,254
8,10,254,254,254
9,10,254,254,254
10,10,0,0,0
11,10,254,254,254
12,10,254,254,254
13,10,0,0,0
14,10,254,254,254
15,10,254,254,254
16,10,0,0,0
17,10,254,254,254
18,10,254,254,254
19,10,0,0,0
20,10,254,254,254
21,10,254,254,254
22,10,0,0,0
23,10,254,254,254
24,10,254,254,254
25,10,0,0,0
26,10,254,254,254
27,10,254,254,254
28,10,254,254,254
29,10,0,0,0
30,10,254,254,254
31,10,0,0,0
0,11,0,0,0
1,11,254,254,254
2,11,0,0,0
3,11,254,254,254
4,11,254,254,254
5,11,254,254,254
6,11,254,254,254
7,11,254,254,254
8,11,254,254,254
9,11,254,254,254
10,11,0,0,0
11,11,254,254,254
12,11,254,254,254
13,11,0,0,0
14,11,254,254,254
15,11,254,254,254
16,11,0,0,0
17,11,254,254,254
18,11,254,254,254
19,11,0,0,0
20,11,254,254,254
21,11,254,254,254
22,11,0,0,0
23,11,254,254,254
24,11,254,254,254
25,11,0,0,0
26,11,254,254,254
27,11,254,254,254
28,11,254,254,254
29,11,0,0,0
30,11,254,254,254
31,11,0,0,0
0,12,0,0,0
1,12,254,254,254
2,12,0,0,0
3,12,254,254,254
4,12,254,254,254
5,12,254,254,254
6,12,254,254,254
7,12,254,254,254
8,12,254,254,254
9,12,254,254,254
10,12,0,0,0
11,12,254,254,254
12,12,254,254,254
13,12,0,0,0
14,12,254,254,254
15,12,254,254,254
16,12,0,0,0
17,12,254,254,254
18,12,254,254,254
19,12,0,0,0
20,12,254,254,254
21,12,254,254,254
22,12,0,0,0
23,12,254,254,254
24,12,254,254,254
25,12,0,0,0
26,12,254,254,254
27,12,254,254,254
28,12,254,254,254
29,12,0,0,0
30,12,254,254,254
31,12,0,0,0
0,13,0,0,0
1,13,254,254,254
2,13,0,0,0
3,13,254,254,254
4,13,254,254,254
5,13,254,254,254
6,13,254,254,254
7,13,254,254,254
8,13,254,254,254
9,13,254,254,254
10,13,0,0,0
