x,y,r,g,b
0,0,1,1,1
1,0,1,1,1
2,0,1,1,1
3,0,1,1,1
4,0,1,1,1
5,0,1,1,1
6,0,1,1,1
7,0,1,1,1
8,0,1,1,1
9,0,1,1,1
10,0,1,1,1
11,0,1,1,1
12,0,1,1,1
13,0,1,1,1
14,0,1,1,1
15,0,1,1,1
16,0,1,1,1
17,0,1,1,1
18,0,1,1,1
19,0,1,1,1
20,0,1,1,1
21,0,1,1,1
22,0,1,1,1
23,0,1,1,1
24,0,1,1,1
25,0,1,1,1
26,0,1,1,1
27,0,1,1,1
28,0,1,1,1
29,0,1,1,1
30,0,1,1,1
31,0,1,1,1
0,1,1,1,1
1,1,254,254,254
2,1,254,254,254
3,1,254,254,254
4,1,254,254,254
5,1,254,254,254
6,1,254,254,254
7,1,254,254,254
8,1,254,254,254
9,1,254,254,254
10,1,254,254,254
11,1,254,254,254
12,1,254,254,254
13,1,254,254,254
14,1,254,254,254
15,1,254,254,254
16,1,254,254,254
17,1,254,254,254
18,1,254,254,254
19,1,254,254,254
20,1,254,254,254
21,1,254,254,254
22,1,254,254,254
23,1,254,254,254
24,1,254,254,254
25,1,254,254,254
26,1,254,254,254
27,1,254,254,254
28,1,254,254,254
29,1,254,254,254
30,1,254,254,254
31,1,1,1,1
0,2,1,1,1
1,2,254,254,254
2,2,1,1,1
3,2,1,1,1
4,2,1,1,1
5,2,1,1,1
6,2,1,1,1
7,2,1,1,1
8,2,1,1,1
9,2,1,1,1
10,2,1,1,1
11,2,1,1,1
12,2,1,1,1
13,2,1,1,1
14,2,1,1,1
15,2,1,1,1
16,2,1,1,1
17,2,1,1,1
18,2,1,1,1
19,2,1,1,1
20,2,1,1,1
21,2,1,1,1
22,2,1,1,1
23,2,1,1,1
24,2,1,1,1
25,2,1,1,1
26,2,1,1,1
27,2,1,1,1
28,2,1,1,1
29,2,1,1,1
30,2,254,254,254
31,2,1,1,1
0,3,1,1,1
1,3,254,254,254
2,3,1,1,1
3,3,1,1,1
4,3,1,1,1
5,3,1,1,1
6,3,1,1,1
7,3,1,1,1
8,3,1,1,1
9,3,1,1,1
10,3,1,1,1
11,3,1,1,1
12,3,1,1,1
13,3,1,1,1
14,3,1,1,1
15,3,1,1,1
16,3,1,1,1
17,3,1,1,1
18,3,1,1,1
19,3,1,1,1
20,3,1,1,1
21,3,1,1,1
22,3,1,1,1
23,3,1,1,1
24,3,1,1,1
25,3,1,1,1
26,3,1,1,1
27,3,1,1,1
28,3,1,1,1
29,3,1,1,1
30,3,254,254,254
31,3,1,1,1
0,4,1,1,1
1,4,254,254,254
2,4,1,1,1
3,4,1,1,1
4,4,1,1,1
5,4,1,1,1
6,4,1,1,1
7,4,1,1,1
8,4,1,1,1
9,4,1,1,1
10,4,1,1,1
11,4,1,1,1
12,4,1,1,1
13,4,1,1,1
14,4,254,254,254
15,4,254,254,254
16,4,254,254,254
17,4,254,254,254
18,4,254,254,254
19,4,254,254,254
20,4,254,254,254
21,4,254,254,254
22,4,254,254,254
23,4,254,254,254
24,4,254,254,254
25,4,254,254,254
26,4,254,254,254
27,4,254,254,254
28,4,254,254,254
29,4,1,1,1
30,4,254,254,254
31,4,1,1,1
0,5,1,1,1
1,5,254,254,254
2,5,1,1,1
3,5,254,254,254
4,5,254,254,254
5,5,254,254,254
6,5,254,254,254
7,5,254,254,254
8,5,254,254,254
9,5,254,254,254
10,5,254,254,254
11,5,254,254,254
12,5,1,1,1
13,5,1,1,1
14,5,254,254,254
15,5,254,254,254
16,5,1,1,1
17,5,254,254,254
18,5,1,1,1
19,5,254,254,254
20,5,1,1,1
21,5,254,254,254
22,5,1,1,1
23,5,254,254,254
24,5,254,254,254
25,5,254,254,254
26,5,254,254,254
27,5,254,254,254
28,5,254,254,254
29,5,1,1,1
30,5,254,254,254
31,5,1,1,1
0,6,1,1,1
1,6,254,254,254
2,6,1,1,1
3,6,254,254,254
4,6,254,254,254
5,6,254,254,254
6,6,254,254,254
7,6,254,254,254
8,6,254,254,254
9,6,254,254,254
10,6,254,254,254
11,6,254,254,254
12,6,1,1,1
13,6,1,1,1
14,6,254,254,254
15,6,254,254,254
16,6,1,1,1
17,6,254,254,254
18,6,1,1,1
19,6,254,254,254
20,6,1,1,1
21,6,254,254,254
22,6,1,1,1
23,6,254,254,254
24,6,254,254,254
25,6,254,254,254
26,6,254,254,254
27,6,254,254,254
28,6,254,254,254
29,6,1,1,1
30,6,254,254,254
31,6,1,1,1
0,7,1,1,1
